Probe	ProbeChromosome	ProbecM	Probebp
Contig10352_s_at	4	91.2889518414	508781920
Contig10356_at	5	143.958333333	523374240
Contig10358_at	unknown	unknown	unknown
Contig10360_at	unknown	unknown	unknown
Contig10361_at	7	45.8923512748	57175160
Contig10364_at	1	70.2549575071	381292560
Contig10365_s_at	unknown	unknown	unknown
Contig10368_at	6	60.6232294618	415150760
Contig10369_at	unknown	unknown	unknown
Contig10370_at	unknown	unknown	unknown
Contig10373_at	3	127.974504249	530748520
Contig10376_s_at	unknown	unknown	unknown
Contig10378_at	unknown	unknown	unknown
Contig10380_x_at	unknown	unknown	unknown
Contig10382_s_at	unknown	unknown	unknown
Contig10383_at	6	4.9575070822	5622160
Contig10389_at	unknown	unknown	unknown
Contig10390_x_at	unknown	unknown	unknown
Contig10392_at	unknown	unknown	unknown
Contig10393_at	5	121.458333333	493405920
Contig10395_at	7	13.314447592	16074120
Contig10396_at	3	46.8838526912	93517080
Contig10397_at	unknown	unknown	unknown
Contig10400_s_at	unknown	unknown	unknown
Contig10401_s_at	unknown	unknown	unknown
Contig10403_s_at	2	135.623229462	608851160
Contig10407_at	unknown	unknown	unknown
Contig1040_at	unknown	unknown	unknown
Contig10412_at	unknown	unknown	unknown
Contig10415_at	unknown	unknown	unknown
Contig10418_at	unknown	unknown	unknown
Contig1041_x_at	unknown	unknown	unknown
Contig10422_at	unknown	unknown	unknown
Contig10423_at	unknown	unknown	unknown
Contig10424_at	1	48.3711048159	216477960
Contig10426_x_at	4	67.4575070822	476042200
Contig10427_at	unknown	unknown	unknown
Contig10432_at	unknown	unknown	unknown
Contig10433_at	unknown	unknown	unknown
Contig10434_at	unknown	unknown	unknown
Contig10435_at	unknown	unknown	unknown
Contig10436_at	3	55.1699716714	389321560
Contig10437_at	4	59.702549575	445690720
Contig10438_at	unknown	unknown	unknown
Contig10440_at	unknown	unknown	unknown
Contig10441_at	5	51.4583333333	386809320
Contig10444_at	unknown	unknown	unknown
Contig10446_at	6	104.815864023	522565760
Contig10448_at	unknown	unknown	unknown
Contig10449_at	unknown	unknown	unknown
Contig10451_at	unknown	unknown	unknown
Contig10453_at	unknown	unknown	unknown
Contig10454_s_at	unknown	unknown	unknown
Contig10455_at	unknown	unknown	unknown
Contig10456_at	unknown	unknown	unknown
Contig10457_at	unknown	unknown	unknown
Contig10458_s_at	unknown	unknown	unknown
Contig10463_at	3	96.4589235127	496830800
Contig10470_at	unknown	unknown	unknown
Contig10471_at	unknown	unknown	unknown
Contig10474_at	unknown	unknown	unknown
Contig10476_at	unknown	unknown	unknown
Contig10477_at	1	70.2549575071	378941520
Contig10479_at	unknown	unknown	unknown
Contig10480_at	unknown	unknown	unknown
Contig10481_at	unknown	unknown	unknown
Contig10483_at	6	72.9461756374	484391120
Contig10484_at	3	114.646172089	516169840
Contig10490_s_at	unknown	unknown	unknown
Contig10491_at	unknown	unknown	unknown
Contig10492_at	unknown	unknown	unknown
Contig10496_at	unknown	unknown	unknown
Contig10497_s_at	unknown	unknown	unknown
Contig10498_at	unknown	unknown	unknown
Contig10499_at	7	76.5580736544	473904440
Contig10502_at	unknown	unknown	unknown
Contig10506_at	unknown	unknown	unknown
Contig10507_at	3	59.1359773371	411717200
Contig10510_at	2	56.5155807365	367693480
Contig10511_at	unknown	unknown	unknown
Contig10514_at	5	127.958333333	501382840
Contig10517_at	unknown	unknown	unknown
Contig10518_at	unknown	unknown	unknown
Contig10520_s_at	unknown	unknown	unknown
Contig10521_at	unknown	unknown	unknown
Contig10523_at	unknown	unknown	unknown
Contig10524_s_at	unknown	unknown	unknown
Contig10526_at	7	74.2917847025	452488400
Contig10531_at	unknown	unknown	unknown
Contig10532_at	2	81.5155807365	528368960
Contig10533_at	unknown	unknown	unknown
Contig10534_s_at	unknown	unknown	unknown
Contig10538_at	unknown	unknown	unknown
Contig10539_at	unknown	unknown	unknown
Contig10540_at	unknown	unknown	unknown
Contig10541_at	unknown	unknown	unknown
Contig10542_at	unknown	unknown	unknown
Contig10543_at	unknown	unknown	unknown
Contig10546_at	unknown	unknown	unknown
Contig10547_at	2	100.345254958	568569760
Contig10548_at	4	51.1331444759	148878120
Contig10549_at	unknown	unknown	unknown
Contig10552_at	unknown	unknown	unknown
Contig10555_at	unknown	unknown	unknown
Contig10557_s_at	unknown	unknown	unknown
Contig10558_at	4	91.1473087819	505761280
Contig10560_at	3	106.232294618	506330440
Contig10562_at	unknown	unknown	unknown
Contig10563_at	unknown	unknown	unknown
Contig10564_at	5	44.2361111111	165253560
Contig10567_s_at	unknown	unknown	unknown
Contig10568_at	3	126.983002833	529091880
Contig10569_at	unknown	unknown	unknown
Contig10570_at	6	60.6232294618	408102600
Contig10573_s_at	unknown	unknown	unknown
Contig10577_at	unknown	unknown	unknown
Contig10579_at	unknown	unknown	unknown
Contig10580_at	unknown	unknown	unknown
Contig10581_at	2	110.906515581	584655040
Contig10583_at	3	38.0311614731	34971720
Contig10585_at	unknown	unknown	unknown
Contig10586_at	3	59.4192634561	412530640
Contig10587_at	unknown	unknown	unknown
Contig10590_at	unknown	unknown	unknown
Contig10591_at	1	106.161473088	439756080
Contig10592_at	unknown	unknown	unknown
Contig10594_at	unknown	unknown	unknown
Contig10595_at	unknown	unknown	unknown
Contig10596_at	unknown	unknown	unknown
Contig10597_at	2	45.0147405839	56546480
Contig10599_at	7	67.5991501417	139955080
Contig10600_at	unknown	unknown	unknown
Contig10602_at	6	35.6232294618	24792560
Contig10604_at	unknown	unknown	unknown
Contig10606_at	unknown	unknown	unknown
Contig10607_at	unknown	unknown	unknown
Contig10608_at	unknown	unknown	unknown
Contig10612_at	unknown	unknown	unknown
Contig10614_at	unknown	unknown	unknown
Contig10615_at	4	80.2407932011	497181720
Contig10616_at	unknown	unknown	unknown
Contig10618_at	unknown	unknown	unknown
Contig10619_at	unknown	unknown	unknown
Contig10620_at	2	39.9079320113	40431440
Contig10621_at	unknown	unknown	unknown
Contig10624_at	4	18.4844192635	11720480
Contig10625_at	unknown	unknown	unknown
Contig10627_at	unknown	unknown	unknown
Contig10628_at	3	52.9390934844	362855000
Contig10630_at	5	152.361111111	537176680
Contig10632_at	3	90.6515580736	489532160
Contig10633_at	unknown	unknown	unknown
Contig10637_s_at	unknown	unknown	unknown
Contig1063_s_at	unknown	unknown	unknown
Contig10641_at	1	132.719546742	464051400
Contig10642_at	unknown	unknown	unknown
Contig10643_at	5	83.4722222222	449473960
Contig10644_at	unknown	unknown	unknown
Contig10647_at	5	98.8888888889	476698160
Contig10648_at	unknown	unknown	unknown
Contig10649_at	3	123.229461756	528175520
Contig1064_at	7	76.5580736544	474388040
Contig10650_at	5	129.444444444	504780440
Contig10652_at	unknown	unknown	unknown
Contig10655_s_at	2	56.5155807365	354523440
Contig10656_at	1	49.0793201133	266246600
Contig10658_s_at	unknown	unknown	unknown
Contig10661_at	unknown	unknown	unknown
Contig10663_at	unknown	unknown	unknown
Contig10666_at	unknown	unknown	unknown
Contig10667_at	unknown	unknown	unknown
Contig10668_at	unknown	unknown	unknown
Contig10669_at	5	43.9236111111	65029320
Contig10670_at	unknown	unknown	unknown
Contig10671_at	unknown	unknown	unknown
Contig10672_at	unknown	unknown	unknown
Contig10676_at	unknown	unknown	unknown
Contig10681_at	1	52.7375499722	300045280
Contig10682_at	1	118.484419264	448760960
Contig10683_at	7	70.8215297451	313305840
Contig10684_at	4	60.269121813	453528760
Contig10685_at	unknown	unknown	unknown
Contig10686_at	4	60.269121813	453528760
Contig10686_s_at	unknown	unknown	unknown
Contig10688_at	6	19.4050991502	15469000
Contig10689_at	5	113.472222222	484522560
Contig10691_s_at	unknown	unknown	unknown
Contig10693_at	unknown	unknown	unknown
Contig10694_at	unknown	unknown	unknown
Contig10695_at	unknown	unknown	unknown
Contig10698_at	unknown	unknown	unknown
Contig10699_at	unknown	unknown	unknown
Contig10700_at	unknown	unknown	unknown
Contig10705_at	5	44.5138888889	285128080
Contig10709_at	unknown	unknown	unknown
Contig10710_at	unknown	unknown	unknown
Contig10711_at	7	95.5028328612	539297080
Contig10712_at	4	54.3201133144	376072160
Contig10713_at	unknown	unknown	unknown
Contig10716_at	1	52.6912181303	298900760
Contig10717_at	4	79.992917847	497181720
Contig10719_at	2	40.1558073655	46227200
Contig10720_at	unknown	unknown	unknown
Contig10721_at	6	60.6232294618	413168000
Contig10722_at	2	110.906515581	584655040
Contig10724_at	unknown	unknown	unknown
Contig10725_at	4	59.6317280453	445690720
Contig10726_at	unknown	unknown	unknown
Contig10728_at	unknown	unknown	unknown
Contig1072_s_at	unknown	unknown	unknown
Contig10730_at	2	114.093484419	588005520
Contig10732_s_at	2	82.507082153	532262560
Contig10734_at	unknown	unknown	unknown
Contig10735_at	7	104.036827195	557398600
Contig10736_at	7	108.994334278	561827880
Contig10738_at	unknown	unknown	unknown
Contig10739_at	unknown	unknown	unknown
Contig10741_at	unknown	unknown	unknown
Contig10742_at	7	70.9631728045	348058080
Contig10743_at	unknown	unknown	unknown
Contig10747_at	1	36.9688385269	29272680
Contig10748_at	4	54.3201133144	388379160
Contig10750_at	6	50.283286119	82856800
Contig10752_at	unknown	unknown	unknown
Contig10753_at	1	125.991501416	456083160
Contig10755_at	7	70.9631728045	372982080
Contig10756_x_at	4	78.6827195467	492292400
Contig10758_at	unknown	unknown	unknown
Contig10759_at	unknown	unknown	unknown
Contig1075_x_at	2	94.4050991501	559726080
Contig10760_at	unknown	unknown	unknown
Contig10761_at	4	54.3201133144	385729280
Contig10765_at	5	47.2222222222	329344000
Contig10767_at	4	59.7733711048	447411840
Contig10768_s_at	7	68.059490085	164649680
Contig10775_at	unknown	unknown	unknown
Contig10777_at	unknown	unknown	unknown
Contig10778_s_at	unknown	unknown	unknown
Contig10779_at	3	51.7705382436	352450160
Contig10780_at	3	38.0311614731	34971720
Contig10781_at	1	52.8446647781	303306480
Contig10782_at	unknown	unknown	unknown
Contig10783_s_at	2	38.8101983003	40265280
Contig10785_at	2	132.577903683	605939640
Contig10787_at	unknown	unknown	unknown
Contig10788_at	6	56.4093484419	343799920
Contig10790_at	unknown	unknown	unknown
Contig10791_s_at	4	99.0793201133	516219440
Contig10793_at	3	139.589235127	544891960
Contig10796_at	4	80.4532577904	498914000
Contig10797_at	unknown	unknown	unknown
Contig10798_at	unknown	unknown	unknown
Contig10799_at	7	70.207743154	233638320
Contig10800_at	unknown	unknown	unknown
Contig10802_at	2	136.968838527	611518400
Contig10803_s_at	unknown	unknown	unknown
Contig10807_at	unknown	unknown	unknown
Contig10808_at	5	120.347222222	492263880
Contig10809_at	unknown	unknown	unknown
Contig10810_at	unknown	unknown	unknown
Contig10811_at	unknown	unknown	unknown
Contig10812_at	unknown	unknown	unknown
Contig10814_at	1	48.4419263457	235917440
Contig10815_at	unknown	unknown	unknown
Contig10818_at	5	44.2361111111	236417160
Contig10822_at	4	1.1331444759	2949960
Contig10823_at	unknown	unknown	unknown
Contig10824_at	3	51.6288951841	277071800
Contig10826_at	unknown	unknown	unknown
Contig10827_at	unknown	unknown	unknown
Contig10832_s_at	unknown	unknown	unknown
Contig10834_s_at	7	132.648725213	591833400
Contig10837_at	unknown	unknown	unknown
Contig10838_at	unknown	unknown	unknown
Contig10839_at	7	41.4305949008	52422240
Contig10841_s_at	4	52.3371104816	347875800
Contig10844_at	unknown	unknown	unknown
Contig10846_at	4	57.2946175637	433585840
Contig10847_at	unknown	unknown	unknown
Contig10848_at	unknown	unknown	unknown
Contig10851_at	unknown	unknown	unknown
Contig10853_at	unknown	unknown	unknown
Contig10854_s_at	3	105.028328612	504740760
Contig10856_at	unknown	unknown	unknown
Contig10859_at	unknown	unknown	unknown
Contig10860_at	unknown	unknown	unknown
Contig10864_at	5	152.569444444	537582160
Contig10866_at	1	42.776203966	45407560
Contig10867_at	2	55.5240793201	172620400
Contig10869_s_at	1	47.5212464589	92732160
Contig10871_at	unknown	unknown	unknown
Contig10872_at	7	70.5382436261	247947920
Contig10874_at	1	86.4730878187	407971160
Contig10877_at	unknown	unknown	unknown
Contig10880_at	unknown	unknown	unknown
Contig10881_at	unknown	unknown	unknown
Contig10883_at	5	44.5138888889	285128080
Contig10884_at	6	54.8866855524	244716480
Contig10885_at	unknown	unknown	unknown
Contig10887_at	2	9.2067988669	12507880
Contig10888_at	6	35.6232294618	21946760
Contig10889_at	unknown	unknown	unknown
Contig10893_at	6	99.3626062323	516376920
Contig10894_at	unknown	unknown	unknown
Contig10895_at	4	34.3484419263	26030080
Contig10896_at	1	48.7960339943	250100560
Contig10897_at	unknown	unknown	unknown
Contig10899_at	4	51.2039660057	199368440
Contig10900_at	unknown	unknown	unknown
Contig10901_at	7	70.4674220963	244989280
Contig10902_at	unknown	unknown	unknown
Contig10904_at	unknown	unknown	unknown
Contig10905_at	5	122.5	496726640
Contig10906_at	5	42.3958333333	51519520
Contig10910_at	unknown	unknown	unknown
Contig10912_at	2	56.5155807365	348712800
Contig10916_at	7	70.9631728045	384935680
Contig10917_at	unknown	unknown	unknown
Contig10919_s_at	unknown	unknown	unknown
Contig10920_at	unknown	unknown	unknown
Contig10924_at	1	48.0878186969	154770600
Contig10925_at	unknown	unknown	unknown
Contig10926_at	unknown	unknown	unknown
Contig10927_at	1	46.8130311615	69994280
Contig10928_at	unknown	unknown	unknown
Contig10931_at	1	71.4115393238	385054720
Contig10932_at	unknown	unknown	unknown
Contig10934_at	unknown	unknown	unknown
Contig10935_at	6	49.0793201133	48355040
Contig10937_at	4	99.0793201133	519537680
Contig10939_at	5	44.2361111111	154105960
Contig10941_at	unknown	unknown	unknown
Contig10942_at	unknown	unknown	unknown
Contig10944_at	3	75.9560906516	468140920
Contig10945_at	unknown	unknown	unknown
Contig10950_at	unknown	unknown	unknown
Contig10951_at	unknown	unknown	unknown
Contig10952_at	2	59.0651558074	451433160
Contig10953_at	unknown	unknown	unknown
Contig10955_at	4	34.3484419263	27508160
Contig10959_at	unknown	unknown	unknown
Contig10960_at	unknown	unknown	unknown
Contig10962_at	1	47.8045325779	122358240
Contig10963_at	unknown	unknown	unknown
Contig10967_at	unknown	unknown	unknown
Contig10968_at	unknown	unknown	unknown
Contig10970_at	2	82.507082153	532262560
Contig10971_at	3	59.1359773371	411717200
Contig10972_at	unknown	unknown	unknown
Contig10973_at	unknown	unknown	unknown
Contig10975_at	unknown	unknown	unknown
Contig10976_at	unknown	unknown	unknown
Contig10980_at	3	147.16713881	553718280
Contig10981_at	unknown	unknown	unknown
Contig10982_at	4	52.7266288952	356872000
Contig10983_at	5	98.6284722222	472417680
Contig10984_at	3	51.6288951841	328985640
Contig10985_at	unknown	unknown	unknown
Contig10986_at	unknown	unknown	unknown
Contig10987_s_at	unknown	unknown	unknown
Contig10992_at	6	55.5240793201	321567960
Contig10994_s_at	3	51.6288951841	243946440
Contig10995_at	4	36.8343976569	34315760
Contig11000_at	unknown	unknown	unknown
Contig11001_at	5	166.805555556	551413120
Contig11004_at	unknown	unknown	unknown
Contig11005_at	4	43.2719546742	39998680
Contig11007_at	2	125.354107649	600657240
Contig11013_at	unknown	unknown	unknown
Contig11014_at	unknown	unknown	unknown
Contig11015_at	5	165.833333333	548768200
Contig11017_at	5	71.6666666667	428190600
Contig11018_at	unknown	unknown	unknown
Contig11020_at	unknown	unknown	unknown
Contig11021_at	6	31.1791784702	21946760
Contig11022_at	6	54.8866855524	237686920
Contig11023_at	unknown	unknown	unknown
Contig11026_at	5	149.583333333	532024480
Contig11027_at	7	68.1657223796	177002560
Contig11029_at	unknown	unknown	unknown
Contig11031_at	unknown	unknown	unknown
Contig11034_at	1	48.0878186969	143088560
Contig11036_at	unknown	unknown	unknown
Contig11038_at	5	98.7152777778	474738960
Contig11039_at	5	149.583333333	532024480
Contig11040_at	1	107.011331445	439756080
Contig11041_at	6	54.6388101983	232399560
Contig11045_at	unknown	unknown	unknown
Contig11053_at	unknown	unknown	unknown
Contig11055_at	unknown	unknown	unknown
Contig11056_at	unknown	unknown	unknown
Contig11057_at	5	44.2361111111	114340400
Contig11061_at	unknown	unknown	unknown
Contig11062_at	2	140.509915014	613959960
Contig11063_at	unknown	unknown	unknown
Contig11064_at	unknown	unknown	unknown
Contig11070_at	7	67.7407932011	146889160
Contig11072_at	unknown	unknown	unknown
Contig11073_at	1	47.9461756374	126351040
Contig11074_at	6	56.4093484419	348583840
Contig11076_at	unknown	unknown	unknown
Contig11077_at	2	55.5417847025	194165400
Contig11078_at	unknown	unknown	unknown
Contig11079_at	5	157.708333333	542588040
Contig11081_at	7	108.073654391	561065280
Contig11083_at	unknown	unknown	unknown
Contig11084_at	unknown	unknown	unknown
Contig11085_at	unknown	unknown	unknown
Contig11087_at	3	131.657223796	534454880
Contig11090_at	5	44.2361111111	118310880
Contig11092_at	7	40.8522190746	51280200
Contig11093_at	unknown	unknown	unknown
Contig11094_at	unknown	unknown	unknown
Contig11095_at	unknown	unknown	unknown
Contig11096_at	unknown	unknown	unknown
Contig11097_at	unknown	unknown	unknown
Contig11099_at	unknown	unknown	unknown
Contig11103_at	7	77.9745042493	502394680
Contig11104_at	unknown	unknown	unknown
Contig11105_at	2	57.9388210939	419050560
Contig11106_s_at	4	109.15368272	530897320
Contig11107_at	2	80.0283286119	524237280
Contig11108_at	unknown	unknown	unknown
Contig11109_at	unknown	unknown	unknown
Contig11110_at	5	149.0625	530397600
Contig11112_at	unknown	unknown	unknown
Contig11114_at	unknown	unknown	unknown
Contig11115_at	unknown	unknown	unknown
Contig11116_at	4	51.4164305949	211232760
Contig11117_at	unknown	unknown	unknown
Contig11118_at	unknown	unknown	unknown
Contig11119_at	unknown	unknown	unknown
Contig11120_at	unknown	unknown	unknown
Contig11121_at	unknown	unknown	unknown
Contig11123_at	3	63.2524787536	437529040
Contig11128_at	2	129.745042493	603659280
Contig11129_at	2	54.3201133144	143236120
Contig11130_at	unknown	unknown	unknown
Contig11131_at	7	15.3682719547	17715880
Contig11134_at	unknown	unknown	unknown
Contig11136_at	unknown	unknown	unknown
Contig11138_at	1	74.1501416431	395727400
Contig11141_at	5	134.722222222	509518480
Contig11142_at	unknown	unknown	unknown
Contig11143_at	unknown	unknown	unknown
Contig11145_at	1	106.161473088	436546960
Contig11146_at	7	124.575070822	579753320
Contig11147_at	unknown	unknown	unknown
Contig11149_at	1	51.5580736544	289428400
Contig11151_at	unknown	unknown	unknown
Contig11153_at	unknown	unknown	unknown
Contig11154_at	unknown	unknown	unknown
Contig11156_at	unknown	unknown	unknown
Contig11157_at	2	56.5155807365	367693480
Contig11158_at	7	70.6798866856	299429000
Contig11159_at	7	129.390934844	588298160
Contig11160_at	unknown	unknown	unknown
