"SNP"	"SNPchr"	"SNPpos"	"SNPabsPos"
"4338-133"	5	35.7	623.6
"ABC13318-1-2-78"	5	37.7	625.6
"4586-536"	5	39	626.9
"7681-229"	5	40.4	628.3
"9766-787"	5	43.7	631.6
"4154-364"	5	44.4	632.3
"ABC10705-1-1-263"	5	45.1	633
"ABC08641-1-2-470"	5	45.7	633.6
"8320-955"	5	46.4	634.3
"3643-2637"	5	48.4	636.3
"1732-491"	5	49.1	637
"1305-736"	5	49.8	637.7
"ConsensusGBS0588-1"	5	51.8	639.7
"ConsensusGBS0653-2"	5	52.4	640.3
"ABC11529-1-1-295"	5	53.8	641.7
"7839-633"	5	56.5	644.4
"65-778"	5	57.8	645.7
"4342-528"	5	59.2	647.1
"ABC10441-1-4-203"	5	59.8	647.7
"2365-405"	5	62.5	650.4
"2075-320"	5	63.2	651.1
"8107-154"	5	63.8	651.7
"8215-496"	5	65.2	653.1
"1896-1435"	5	66.5	654.4
"4302-577"	5	67.2	655.1
"4389-551"	5	69.2	657.1
"9745-628"	5	71.9	659.8
"ABC06144-pHv86-02"	5	74.6	662.5
"ABC06144-pHv86-01"	5	76.6	664.5
"ABC11984-1-2-158"	5	81.3	669.2
"ABC11984-1-1-45"	5	82	669.9
"5440-455"	5	86	673.9
"5004-375"	5	88	675.9
"3056-1317"	5	90	677.9
"ABC14689-1-9-399"	5	90.7	678.6
"1300-1462"	5	93.4	681.3
"4706-940"	5	94.1	682
"ConsensusGBS0531-1"	5	117	704.9
"ConsensusGBS0234-1"	5	119.7	707.6
"ABC17073-1-1-298"	5	122.4	710.3
"ABC04322-1-4-236"	5	123.1	711
"5571-640"	5	129.1	717
"7523-440"	5	130.5	718.4
"ConsensusGBS0704-2"	5	131.8	719.7
"3412-579"	5	132.5	720.4
"iEst9"	5	133.1	721
"ABC04352-pHv108-01"	5	133.8	721.7
"4346-840"	5	134.5	722.4
"2611-1846"	5	137.2	725.1
"874-199"	5	138.5	726.4
"ConsensusGBS0397-16"	5	142.5	730.4
"rpg4 region"	5	147.9	735.8
"ConsensusGBS0451-1"	5	149.3	737.2
"4117-472"	5	161.6	749.5
"585-342"	5	163.6	751.5
"6781-1073"	5	164.3	752.2
"3362-644"	5	164.9	752.8
"ConsensusGBS0152-1"	5	166.3	754.2
"2244-3247"	5	167	754.9
"6761-490"	5	167.6	755.5
"15017-277"	5	169.6	757.5
"5219-773"	5	171	758.9
"6851-867"	5	173	760.9
"2493-660"	5	173.7	761.6
"ABC16075-2-2-232"	5	175.7	763.6
"6489-465"	5	176.3	764.2
"ABC08225-1-1-100"	5	177.7	766.3
"ABC49997-sfp49-02"	5	178.4	768.3
"6580-293"	5	180.4	768.9
"2555-114"	5	181	769.5
"1692-742"	6	0	770.1
"4547-1677"	6	3.4	773.5
"1553-753"	6	4.7	774.8
"1872-1372"	6	10.1	780.2
"5993-2383"	6	12.1	782.2
"ConsensusGBS0346-1"	6	16.8	786.9
"384-815"	6	21.5	791.6
"7624-359"	6	24.2	794.3
"4611-178"	6	37.2	807.3
"3164-1386"	6	44	814.1
"6964-414"	6	53.5	823.6
"7898-1497"	6	54.2	824.3
"3379-1037"	6	55.5	825.6
"ABC08769-1-1-205"	6	58.2	828.3
"1009-1089"	6	58.9	829
"ABC04676-1-1-59"	6	59.5	829.6
"ConsensusGBS0088-1"	6	60.2	830.3
"4895-145"	6	60.9	831
"1490-959"	6	61.5	831.6
"ABC10536-1-2-232"	6	63.6	833.7
"5803-458"	6	64.2	834.3
"5324-813"	6	64.9	835
"ConsensusGBS0369-1"	6	70.3	840.4
"4203-1210"	6	70.9	841
"ABC03951-1-3-383"	6	72.3	842.4
"ABC14687-1-4-344"	6	73.6	843.7
"ConsensusGBS0241-3"	6	74.3	844.4
"7361-937"	6	75	845.1
"2607-2929"	6	76.3	846.4
"ABC06682-1-1-311"	6	80.3	850.4
"5926-798"	6	87.8	858.5
"1969-1322"	6	88.4	861.2
"578-587"	6	91.1	861.9
"ABC12239-1-1-316"	6	91.8	863.2
"8504-785"	6	93.1	863.8
"Rpg1"	7	0	864.4
"Sft"	7	0.7	865.1
"9137-1106"	7	2	866.4
"9728-1098"	7	2.7	867.1
"8200-978"	7	4.7	869.1
"4204-176"	7	5.4	869.8
"1762-837"	7	7.4	871.8
"iPgd1A"	7	8.8	873.2
"984-583"	7	9.5	873.9
"ConsensusGBS0446-1"	7	10.1	874.5
"ConsensusGBS0021-5"	7	10.8	875.2
"1773-358"	7	11.5	875.9
"6394-944"	7	14.2	878.6
"4503-246"	7	15.5	879.9
"iEst5"	7	16.8	881.2
"Wx"	7	17.5	881.9
"dRcs5"	7	27.1	891.5
"452-498"	7	28.5	892.9
"2124-984"	7	29.2	893.6
"ABC03024-1-3-368"	7	31.8	896.2
"2032-923"	7	34.5	898.9
"1213-1959"	7	36.5	900.9
"8548-1250"	7	39.9	904.3
"ConsensusGBS0356-1"	7	40.6	905
"ABC10361-1-3-316"	7	43.3	907.7
"1792-372"	7	46.6	911
"5467-1663"	7	47.3	911.7
"4767-1374"	7	48.6	913
"5028-1261"	7	50	914.4
"Brz"	7	50.6	915
"8208-576"	7	53.4	917.8
"943-3107"	7	56.7	921.1
"2669-1012"	7	57.4	921.8
"11912-654"	7	62.1	926.5
"4129-1119"	7	64.1	928.5
"ConsensusGBS0664-1"	7	68.8	933.2
"9820-455"	7	69.5	933.9
"3734-2812"	7	73.6	938
"4460-739"	7	74.9	939.3
"dRsmMx"	7	75.6	940
"2790-70"	7	76.3	940.7
"ABC17088-1-1-247"	7	77.6	942
"ConsensusGBS0693-4"	7	78.9	943.3
"Hsp17"	7	79.6	944
"Amy2"	7	82.3	946.7
"977-1377"	7	85.6	950
"12027-128"	7	89	953.4
"4838-494"	7	94.4	958.8
"4113-1389"	7	95.1	959.5
"3981-469"	7	96.4	960.8
"3492-678"	7	99.1	963.5
"1789-782"	7	101.8	966.2
"1621-2223"	7	107.2	971.6
"3799-1335"	7	108.5	972.9
"ConsensusGBS0647-4"	7	109.8	974.2
"7023-448"	7	120	984.4
"3345-247"	7	120.7	985.1
"7886-894"	7	122.1	986.5
"7180-778"	7	128.1	992.5
"2828-328"	7	139	1003.4
"Cat3"	7	139.7	1004.1
